mode,seg,t_mid_s,peak_omega,found,offset_ms,err_ms,cost
nearest,0,2.0000,253.29,1,6.72000,-0.58000,30373.1862
nearest,1,6.0500,307.82,1,7.92000,0.62000,15976.7527
nearest,2,10.1167,472.53,1,7.79000,0.49000,24424.6333
nearest,3,14.1833,382.92,1,7.82000,0.52000,17976.0380
nearest,4,18.2333,375.74,1,6.86000,-0.44000,17971.3120
nearest,5,22.2833,302.34,1,7.60000,0.30000,16915.2104
nearest,6,26.3500,275.55,1,7.44000,0.14000,22466.1777
nearest,7,30.4167,170.55,1,7.82000,0.52000,6483.0905
interp,0,2.0000,253.29,1,7.01000,-0.29000,30018.7028
interp,1,6.0500,307.82,1,7.56000,0.26000,16139.5139
interp,2,10.1167,472.53,1,7.37000,0.07000,25112.3562
interp,3,14.1833,382.92,1,7.49000,0.19000,17807.1122
interp,4,18.2333,375.74,1,6.91000,-0.39000,17320.4467
interp,5,22.2833,302.34,1,7.22000,-0.08000,17094.8435
interp,6,26.3500,275.55,1,7.26000,-0.04000,22325.2413
interp,7,30.4167,170.55,1,7.94000,0.64000,6389.1395
