mode,n_seg,seg_len_s,bias_ms,std_mean_ms,std_seg_ms
nearest,1,32.4635,0.41800,0.04354,0.00000
nearest,2,16.2318,0.35983,0.04122,0.16017
nearest,4,8.1159,0.31725,0.03253,0.16100
nearest,8,4.0579,0.21963,0.03172,0.46429
nearest,16,2.0290,0.37144,0.03087,0.41773
nearest,32,1.0145,0.33929,0.01884,0.56983
interp,1,32.4635,0.00500,0.00619,0.00000
interp,2,16.2318,-0.01217,0.00441,0.10950
interp,4,8.1159,0.00492,0.00631,0.12519
interp,8,4.0579,0.04679,0.00885,0.31566
interp,16,2.0290,0.05313,0.01386,0.37445
interp,32,1.0145,0.04699,0.01250,0.49917
